LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;74
Segment;TrigTime;TimeSinceSegment1
#1;19-Nov-2018 06:07:38;0                 
Time;Ampl
-2e-007;0
2.12e-022;1514
2e-007;1247
4e-007;1056
6e-007;892
8e-007;822
1e-006;694
1.2e-006;668
1.4e-006;514
1.6e-006;518
1.8e-006;455
2e-006;415
2.2e-006;422
2.4e-006;387
2.6e-006;358
2.8e-006;325
3e-006;306
3.2e-006;264
3.4e-006;211
3.6e-006;188
3.8e-006;206
4e-006;186
4.2e-006;171
4.4e-006;171
4.6e-006;148
4.8e-006;125
5e-006;106
5.2e-006;109
5.4e-006;104
5.6e-006;102
5.8e-006;93
6e-006;79
6.2e-006;80
6.4e-006;86
6.6e-006;74
6.8e-006;71
7e-006;58
7.2e-006;48
7.4e-006;46
7.6e-006;40
7.8e-006;44
8e-006;52
8.2e-006;45
8.4e-006;27
8.6e-006;42
8.8e-006;47
9e-006;20
9.2e-006;37
9.4e-006;41
9.6e-006;30
9.8e-006;40
1e-005;27
1.02e-005;32
1.04e-005;25
1.06e-005;0
1.08e-005;0
1.1e-005;0
1.12e-005;0
1.14e-005;0
1.16e-005;0
1.18e-005;0
1.2e-005;0
1.22e-005;0
1.24e-005;0
1.26e-005;0
1.28e-005;0
1.3e-005;0
1.32e-005;0
1.34e-005;0
1.36e-005;0
1.38e-005;0
1.4e-005;0
1.42e-005;0
1.44e-005;0
