LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;75
Segment;TrigTime;TimeSinceSegment1
#1;19-Nov-2018 06:07:38;0                 
Time;Ampl
-2e-007;0
2.12e-022;1439
2e-007;1872
4e-007;1589
6e-007;24669
8e-007;4337
1e-006;1647
1.2e-006;2780
1.4e-006;1388
1.6e-006;897
1.8e-006;766
2e-006;697
2.2e-006;609
2.4e-006;510
2.6e-006;454
2.8e-006;414
3e-006;384
3.2e-006;353
3.4e-006;333
3.6e-006;296
3.8e-006;283
4e-006;243
4.2e-006;235
4.4e-006;179
4.6e-006;177
4.8e-006;174
5e-006;148
5.2e-006;143
5.4e-006;144
5.6e-006;135
5.8e-006;109
6e-006;107
6.2e-006;88
6.4e-006;79
6.6e-006;71
6.8e-006;92
7e-006;75
7.2e-006;70
7.4e-006;51
7.6e-006;52
7.8e-006;47
8e-006;46
8.2e-006;31
8.4e-006;26
8.6e-006;35
8.8e-006;37
9e-006;28
9.2e-006;26
9.4e-006;26
9.6e-006;32
9.8e-006;25
1e-005;14
1.02e-005;21
1.04e-005;16
1.06e-005;0
1.08e-005;0
1.1e-005;0
1.12e-005;0
1.14e-005;0
1.16e-005;0
1.18e-005;0
1.2e-005;0
1.22e-005;0
1.24e-005;0
1.26e-005;0
1.28e-005;0
1.3e-005;0
1.32e-005;0
1.34e-005;0
1.36e-005;0
1.38e-005;0
1.4e-005;0
1.42e-005;0
1.44e-005;0
1.46e-005;0
