LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;75
Segment;TrigTime;TimeSinceSegment1
#1;03-Dec-2018 05:27:36;0                 
Time;Ampl
-1.04e-006;0
-8.4e-007;0
-6.4e-007;0
-4.4e-007;0
-2.4e-007;0
-4e-008;873
1.6e-007;1036
3.6e-007;768
5.6e-007;11899
7.6e-007;2671
9.6e-007;919
1.16e-006;1344
1.36e-006;989
1.56e-006;498
1.76e-006;432
1.96e-006;348
2.16e-006;283
2.36e-006;280
2.56e-006;252
2.76e-006;222
2.96e-006;204
3.16e-006;185
3.36e-006;172
3.56e-006;146
3.76e-006;138
3.96e-006;120
4.16e-006;139
4.36e-006;113
4.56e-006;100
4.76e-006;80
4.96e-006;89
5.16e-006;72
5.36e-006;76
5.56e-006;77
5.76e-006;48
5.96e-006;44
6.16e-006;57
6.36e-006;42
6.56e-006;37
6.76e-006;41
6.96e-006;36
7.16e-006;36
7.36e-006;35
7.56e-006;31
7.76e-006;24
7.96e-006;25
8.16e-006;21
8.36e-006;17
8.56e-006;20
8.76e-006;18
8.96e-006;22
9.16e-006;12
9.36e-006;13
9.56e-006;8
9.76e-006;11
9.96e-006;9
1.02e-005;10
1.04e-005;13
1.06e-005;1
1.08e-005;0
1.1e-005;0
1.12e-005;0
1.14e-005;0
1.16e-005;0
1.18e-005;0
1.2e-005;0
1.22e-005;0
1.24e-005;0
1.26e-005;0
1.28e-005;0
1.3e-005;0
1.32e-005;0
1.34e-005;0
1.36e-005;0
1.38e-005;0
