LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;51
Segment;TrigTime;TimeSinceSegment1
#1;05-Nov-2018 03:04:13;0                 
Time;Ampl
-4e-007;0
-2e-007;0
4.24e-022;13367
2e-007;1555
4e-007;1261
6e-007;10579
8e-007;2405
1e-006;1164
1.2e-006;1579
1.4e-006;955
1.6e-006;731
1.8e-006;607
2e-006;572
2.2e-006;438
2.4e-006;456
2.6e-006;384
2.8e-006;409
3e-006;365
3.2e-006;314
3.4e-006;306
3.6e-006;278
3.8e-006;242
4e-006;225
4.2e-006;216
4.4e-006;179
4.6e-006;177
4.8e-006;151
5e-006;159
5.2e-006;115
5.4e-006;115
5.6e-006;117
5.8e-006;87
6e-006;89
6.2e-006;110
6.4e-006;69
6.6e-006;68
6.8e-006;67
7e-006;57
7.2e-006;61
7.4e-006;50
7.6e-006;62
7.8e-006;66
8e-006;27
8.2e-006;49
8.4e-006;36
8.6e-006;35
8.8e-006;30
9e-006;36
9.2e-006;37
9.4e-006;41
9.6e-006;24
