LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;74
Segment;TrigTime;TimeSinceSegment1
#1;03-Dec-2018 05:27:39;0                 
Time;Ampl
-1.6e-007;0
4e-008;1522
2.4e-007;1113
4.4e-007;1034
6.4e-007;883
8.4e-007;748
1.04e-006;671
1.24e-006;607
1.44e-006;544
1.64e-006;550
1.84e-006;457
2.04e-006;465
2.24e-006;363
2.44e-006;381
2.64e-006;321
2.84e-006;303
3.04e-006;277
3.24e-006;266
3.44e-006;238
3.64e-006;238
3.84e-006;207
4.04e-006;180
4.24e-006;174
4.44e-006;168
4.64e-006;154
4.84e-006;135
5.04e-006;143
5.24e-006;113
5.44e-006;112
5.64e-006;96
5.84e-006;85
6.04e-006;87
6.24e-006;84
6.44e-006;82
6.64e-006;67
6.84e-006;69
7.04e-006;59
7.24e-006;62
7.44e-006;44
7.64e-006;48
7.84e-006;54
8.04e-006;35
8.24e-006;42
8.44e-006;44
8.64e-006;44
8.84e-006;38
9.04e-006;41
9.24e-006;27
9.44e-006;24
9.64e-006;28
9.84e-006;39
1e-005;31
1.02e-005;25
1.04e-005;19
1.06e-005;0
1.08e-005;0
1.1e-005;0
1.12e-005;0
1.14e-005;0
1.16e-005;0
1.18e-005;0
1.2e-005;0
1.22e-005;0
1.24e-005;0
1.26e-005;0
1.28e-005;0
1.3e-005;0
1.32e-005;0
1.34e-005;0
1.36e-005;0
1.38e-005;0
1.4e-005;0
1.42e-005;0
1.44e-005;0
