LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;74
Segment;TrigTime;TimeSinceSegment1
#1;19-Nov-2018 06:07:38;0                 
Time;Ampl
-2e-007;0
2.12e-022;12
2e-007;13
4e-007;16
6e-007;8
8e-007;10
1e-006;5
1.2e-006;6
1.4e-006;3
1.6e-006;4
1.8e-006;7
2e-006;6
2.2e-006;5
2.4e-006;4
2.6e-006;1
2.8e-006;6
3e-006;4
3.2e-006;2
3.4e-006;2
3.6e-006;1
3.8e-006;0
4e-006;2
4.2e-006;1
4.4e-006;1
4.6e-006;0
4.8e-006;1
5e-006;0
5.2e-006;2
5.4e-006;1
5.6e-006;3
5.8e-006;0
6e-006;2
6.2e-006;0
6.4e-006;0
6.6e-006;0
6.8e-006;1
7e-006;1
7.2e-006;0
7.4e-006;0
7.6e-006;0
7.8e-006;1
8e-006;0
8.2e-006;0
8.4e-006;0
8.6e-006;1
8.8e-006;0
9e-006;2
9.2e-006;0
9.4e-006;0
9.6e-006;0
9.8e-006;1
1e-005;0
1.02e-005;0
1.04e-005;0
1.06e-005;0
1.08e-005;0
1.1e-005;0
1.12e-005;0
1.14e-005;0
1.16e-005;0
1.18e-005;0
1.2e-005;0
1.22e-005;0
1.24e-005;0
1.26e-005;0
1.28e-005;0
1.3e-005;0
1.32e-005;0
1.34e-005;0
1.36e-005;0
1.38e-005;0
1.4e-005;0
1.42e-005;0
1.44e-005;0
