LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;51
Segment;TrigTime;TimeSinceSegment1
#1;05-Nov-2018 03:04:13;0                 
Time;Ampl
-4e-007;0
-2e-007;0
4.24e-022;43
2e-007;4
4e-007;7
6e-007;33
8e-007;5
1e-006;5
1.2e-006;2
1.4e-006;4
1.6e-006;4
1.8e-006;1
2e-006;3
2.2e-006;1
2.4e-006;2
2.6e-006;0
2.8e-006;0
3e-006;1
3.2e-006;0
3.4e-006;0
3.6e-006;1
3.8e-006;1
4e-006;1
4.2e-006;0
4.4e-006;1
4.6e-006;0
4.8e-006;0
5e-006;0
5.2e-006;0
5.4e-006;0
5.6e-006;2
5.8e-006;2
6e-006;0
6.2e-006;0
6.4e-006;0
6.6e-006;0
6.8e-006;1
7e-006;0
7.2e-006;0
7.4e-006;0
7.6e-006;0
7.8e-006;0
8e-006;0
8.2e-006;0
8.4e-006;0
8.6e-006;0
8.8e-006;1
9e-006;0
9.2e-006;0
9.4e-006;1
9.6e-006;0
