LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;100
Segment;TrigTime;TimeSinceSegment1
#1;29-Oct-2018 11:02:57;0                 
Time;Ampl
-5.24e-006;0
-5.04e-006;0
-4.84e-006;0
-4.64e-006;0
-4.44e-006;0
-4.24e-006;0
-4.04e-006;0
-3.84e-006;0
-3.64e-006;0
-3.44e-006;0
-3.24e-006;0
-3.04e-006;0
-2.84e-006;0
-2.64e-006;0
-2.44e-006;0
-2.24e-006;0
-2.04e-006;0
-1.84e-006;0
-1.64e-006;0
-1.44e-006;0
-1.24e-006;0
-1.04e-006;0
-8.4e-007;0
-6.4e-007;0
-4.4e-007;0
-2.4e-007;0
-4e-008;27
1.6e-007;3
3.6e-007;3
5.6e-007;16
7.6e-007;6
9.6e-007;2
1.16e-006;2
1.36e-006;4
1.56e-006;1
1.76e-006;1
1.96e-006;1
2.16e-006;0
2.36e-006;0
2.56e-006;1
2.76e-006;2
2.96e-006;0
3.16e-006;1
3.36e-006;2
3.56e-006;2
3.76e-006;0
3.96e-006;0
4.16e-006;0
4.36e-006;0
4.56e-006;0
4.76e-006;0
4.96e-006;1
5.16e-006;0
5.36e-006;0
5.56e-006;1
5.76e-006;1
5.96e-006;0
6.16e-006;0
6.36e-006;2
6.56e-006;1
6.76e-006;0
6.96e-006;0
7.16e-006;0
7.36e-006;0
7.56e-006;0
7.76e-006;0
7.96e-006;0
8.16e-006;0
8.36e-006;0
8.56e-006;0
8.76e-006;0
8.96e-006;0
9.16e-006;1
9.36e-006;1
9.56e-006;0
9.76e-006;0
9.96e-006;0
1.02e-005;0
1.04e-005;0
1.06e-005;0
1.08e-005;0
1.1e-005;0
1.12e-005;0
1.14e-005;0
1.16e-005;0
1.18e-005;0
1.2e-005;0
1.22e-005;0
1.24e-005;0
1.26e-005;0
1.28e-005;0
1.3e-005;0
1.32e-005;0
1.34e-005;0
1.36e-005;0
1.38e-005;0
1.4e-005;0
1.42e-005;0
1.44e-005;0
1.46e-005;0
