LECROYWRHRO66Zi;0;Histogram
Segments;1;SegmentSize;100
Segment;TrigTime;TimeSinceSegment1
#1;22-Oct-2018 06:23:33;0                 
Time;Ampl
-4.66e-008;0
-4.61e-008;0
-4.56e-008;0
-4.51e-008;0
-4.46e-008;0
-4.41e-008;0
-4.36e-008;0
-4.31e-008;0
-4.26e-008;0
-4.21e-008;0
-4.16e-008;0
-4.11e-008;0
-4.06e-008;0
-4.01e-008;0
-3.96e-008;0
-3.91e-008;0
-3.86e-008;0
-3.81e-008;1
-3.76e-008;0
-3.71e-008;0
-3.66e-008;0
-3.61e-008;0
-3.56e-008;0
-3.51e-008;1
-3.46e-008;0
-3.41e-008;0
-3.36e-008;0
-3.31e-008;0
-3.26e-008;0
-3.21e-008;3
-3.16e-008;2
-3.11e-008;0
-3.06e-008;2
-3.01e-008;1
-2.96e-008;0
-2.91e-008;1
-2.86e-008;0
-2.81e-008;2
-2.76e-008;3
-2.71e-008;6
-2.66e-008;22
-2.61e-008;42
-2.56e-008;38
-2.51e-008;63
-2.46e-008;57
-2.41e-008;55
-2.36e-008;55
-2.31e-008;54
-2.26e-008;59
-2.21e-008;53
-2.16e-008;45
-2.11e-008;48
-2.06e-008;54
-2.01e-008;52
-1.96e-008;42
-1.91e-008;51
-1.86e-008;54
-1.81e-008;56
-1.76e-008;27
-1.71e-008;23
-1.66e-008;10
-1.61e-008;5
-1.56e-008;5
-1.51e-008;0
-1.46e-008;2
-1.41e-008;0
-1.36e-008;0
-1.31e-008;2
-1.26e-008;0
-1.21e-008;0
-1.16e-008;0
-1.11e-008;1
-1.06e-008;0
-1.01e-008;0
-9.6e-009;0
-9.1e-009;0
-8.6e-009;0
-8.1e-009;0
-7.6e-009;0
-7.1e-009;0
-6.6e-009;0
-6.1e-009;0
-5.6e-009;0
-5.1e-009;0
-4.6e-009;0
-4.1e-009;0
-3.6e-009;0
-3.1e-009;0
-2.6e-009;0
-2.1e-009;0
-1.6e-009;1
-1.1e-009;0
-6e-010;0
-1e-010;0
4e-010;1
9e-010;0
1.4e-009;0
1.9e-009;0
2.4e-009;0
2.9e-009;0
